0.855,127.986,0.638,-4.86,0.245,0.731,"Post Malone, Morgan Wallen",4,0.0264,I Had Some Help,7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),2024-05-10,0.00000000,1,7,178206,0.00757
0.62,117.038,0.741,-5.505,0.0398,0.934,Hozier,4,0.0412,Unheard,4IadxL6BUymXlh8RCJJu7T,Too Sweet,2024-03-22,0.00080900,1,10,251424,0.0295
0.339,97.989,0.705,-10.612,0.12,0.457,The Marías,4,0.0278,Submarine,3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,2024-05-31,0.08140000,1,7,236907,0.552
0.651,112.648,0.694,-6.968,0.0787,0.471,"Oscar Maydon, Fuerza Regida",3,0.0784,Tu Boda,1cOboCuWYI2osTOfolMRS6,Tu Boda,2024-09-26,0.00001360,1,6,225881,0.496
0.601,123.994,0.635,-6.129,0.11,0.332,Myles Smith,4,0.0295,Stargazing,3Vr3zh0r7ALn8VLqCiRR10,Stargazing,2024-05-10,0.00000000,0,1,172533,0.246
0.691,167.029,0.836,-4.222,0.282,0.703,"GloRilla, Sexyy Red",4,0.363,WHATCHU KNO ABOUT ME (with Sexyy Red),4VI2Y5xg4gYynQqNQNQbTN,WHATCHU KNO ABOUT ME (with Sexyy Red),2024-10-10,0.00000000,1,1,149461,0.00586
0.646,115.842,0.645,-8.334,0.074,0.295,Ariana Grande,4,0.0427,eternal sunshine,46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),2024-03-08,0.00003040,1,5,228639,0.0615
0.471,105.029,0.472,-5.692,0.14,0.219,Benson Boone,3,0.0603,Beautiful Things,6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,2024-01-18,0.00000000,1,10,180304,0.151
0.709,194.055,0.744,-5.778,0.0847,0.712,"Myke Towers, benny blanco",4,0.284,LA PANTERA NEGRA (DELUXE),0qeIFEGRQqHoaJtLCl0U73,DEGENERE 👑 (feat. benny blanco),2024-10-17,0.00000000,0,6,130880,0.0501
0.904,167.033,0.739,-2.655,0.0948,0.788,KATSEYE,4,0.0442,Touch,6aJn7Cst74cj4lNIiPRgav,Touch,2024-07-26,0.00001030,0,5,129883,0.549
0.604,159.92,0.561,-4.409,0.104,0.242,Teddy Swims,3,0.0337,I've Tried Everything But Therapy (Part 1),17phhZDn6oGtzMe56NuWvj,Lose Control,2023-09-15,0.00001900,1,9,210689,0.199
0.668,90.969,0.646,-5.203,0.212,0.64,Mark Ambor,4,0.0282,Belong Together,5uQ7de4EWjb3rkcFxyEOpu,Belong Together,2024-02-16,0.00000000,1,2,148318,0.491
0.668,128.027,0.924,-6.795,0.0678,0.787,KAROL G,4,0.0469,Si Antes Te Hubiera Conocido,6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,2024-06-21,0.00059400,1,11,195824,0.446
0.454,159.982,0.689,-7.643,0.0707,0.912,Djo,4,0.0584,DECIDE,3qhlB30KknSejmIvZZLjOD,End of Beginning,2022-09-16,0.00259000,1,2,159246,0.0351
0.386,192.004,0.504,-10.976,0.0961,0.281,"Taylor Swift, Post Malone",4,0.0308,THE TORTURED POETS DEPARTMENT,2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),2024-04-18,0.00001530,1,11,228965,0.502
0.681,155.079,0.56,-6.304,0.106,0.388,"Omar Courtz, De La Rose",4,0.244,PRIMERA MUSA,0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,2024-09-20,0.00000000,0,6,223320,0.103
0.472,101.061,0.898,-7.001,0.141,0.214,Kendrick Lamar,4,0.0776,Not Like Us,6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,2024-05-04,0.00000000,1,1,274192,0.0107
0.711,146.921,0.487,-4.22,0.152,0.317,Jin,4,0.0322,Happy,4p7DTkyrKqT98xlIwYYfXz,Running Wild,2024-11-15,0.00000000,1,8,151647,0.000175
0.712,91.98,0.848,-3.574,0.106,0.692,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",4,0.0981,+57,3mg9jYNC1NihbthlglzrWP,+57,2024-11-08,0.00000000,0,1,298131,0.221
0.645,114.933,0.882,-7.233,0.057,0.788,Ndotz,4,0.0601,Embrace It,0io16MKpbeDIdYzmGpQaES,Embrace It,2024-08-23,0.00004130,1,1,104419,0.475
0.872,184.115,0.466,-3.344,0.121,0.806,Linkin Park,4,0.0336,The Emptiness Machine,2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,2024-09-05,0.00000000,1,7,190428,0.0156
0.756,116.034,0.66,-3.743,0.193,0.838,Jimin,4,0.032,MUSE,7tI8dRuH2Yc6RuoTjxo4dU,Who,2024-07-19,0.00000000,0,0,170888,0.00289
